Symbol_v85	4|CRko|sg_hCHUK_1|CHUK	4|CRko|sg_hCHUK_2|CHUK	4|CRko|sg_hCHUK_3|CHUK	4|CRko|sg_hCHUK_4|CHUK	4|CRko|sg_hCHUK_5|CHUK	4|CRko|sg_hCHUK_6|CHUK	4|CRko|sg_hCHUK_8|CHUK	4|CRko|sg_hIKBKG_1|IKBKG	4|CRko|sg_hIKBKG_2|IKBKG	4|CRko|sg_hIKBKG_3|IKBKG	4|CRko|sg_hIKBKG_4|IKBKG	4|CRko|sg_hIKBKG_5|IKBKG	4|CRko|sg_hIKBKG_6|IKBKG	4|CRko|sg_hIKBKG_7|IKBKG	4|CRko|sg_hIKBKG_8|IKBKG	4|CRko|sg_hRELA_1|RELA	4|CRko|sg_hRELA_2|RELA	4|CRko|sg_hRELA_3|RELA	4|CRko|sg_hRELA_4|RELA	4|CRko|sg_hRELA_5|RELA	4|CRko|sg_hRELA_6|RELA	4|CRko|sg_hRELA_7|RELA	4|CRko|sg_hRELA_8|RELA	4|CRko|sg_hSMPD1_1|SMPD1	4|CRko|sg_hSMPD1_2|SMPD1	4|CRko|sg_hSMPD1_3|SMPD1	4|CRko|sg_hSMPD1_4|SMPD1	4|CRko|sg_hSMPD1_5|SMPD1	4|CRko|sg_hSMPD1_6|SMPD1	4|CRko|sg_hSMPD1_7|SMPD1	4|CRko|sg_hSMPD1_8|SMPD1	4|CRko|sg_hTAB1_1|TAB1	4|CRko|sg_hTAB1_2|TAB1	4|CRko|sg_hTAB1_3|TAB1	4|CRko|sg_hTAB1_4|TAB1	4|CRko|sg_hTAB1_5|TAB1	4|CRko|sg_hTAB1_6|TAB1	4|CRko|sg_hTAB1_7|TAB1	4|CRko|sg_hTAB1_8|TAB1	4|CRko|sg_hACTG1_1|ACTG1	4|CRko|sg_hACTG1_2|ACTG1	4|CRko|sg_hACTG1_3|ACTG1	4|CRko|sg_hACTG1_4|ACTG1	4|CRko|sg_hACTG1_5|ACTG1	4|CRko|sg_hACTG1_6|ACTG1	4|CRko|sg_hACTG1_7|ACTG1	4|CRko|sg_hACTG1_8|ACTG1	2|CRko|sg_hALAS1-INTRON_1|ALAS1-INTRON	4|CRko|sg_hTNFRSF1A_1|TNFRSF1A	4|CRko|sg_hTNFRSF1A_2|TNFRSF1A	4|CRko|sg_hTNFRSF1A_3|TNFRSF1A	4|CRko|sg_hTNFRSF1A_4|TNFRSF1A	4|CRko|sg_hTNFRSF1A_5|TNFRSF1A	4|CRko|sg_hTNFRSF1A_6|TNFRSF1A	4|CRko|sg_hTNFRSF1A_7|TNFRSF1A	4|CRko|sg_hTNFRSF1A_8|TNFRSF1A	2|CRko|sg_hDMD-INTRON_1|DMD-INTRON	2|CRko|sg_hREEP5-INTRON_1|REEP5-INTRON	2|CRko|sg_hCHAT-INTRON_1|CHAT-INTRON	1|CRko|sg_Neg_Control_Human_GA_0485|Neg_Control_Human
IL32	0.000852492	0.000319433	0.00037911	0.000242335	0.000540242	0.000730572	0.000613168	0.000916706	0.000127884	0.000173425	0.000305281	0.000390607	6.22253E-05	9.14933E-05	0.002350629	0.000306139	0.001130327	0.000440034	0.000448818	0.001121256	0.000291679	0.00062163	0.000515657	0.002372267	0.003696684	0.002535715	0.002561991	0.002327328	0.002009507	0.00229498	0.00208993	0.001846545	0.001898435	0.001748176	0.002782707	0.001735215	0.002389799	0.001712547	0.001690014	0.002866047	0.002430786	0.002198452	0.002067356	0.002177843	0.002137201	0.002079036	0.00252135	0.002424999	0.00018691	5.25264E-05	4.70664E-05	0.000205167	0.000293034	0.000298484	0.000236625	5.53951E-05	4.70287E-05	0.002187296	0.002258446	0.002011614
IL6ST	9.60257E-05	5.82947E-05	5.62342E-05	5.04418E-05	6.68996E-05	7.08246E-05	7.03598E-05	8.36908E-05	6.72351E-05	7.33399E-05	8.22447E-05	9.23468E-05	5.99916E-05	5.19049E-05	9.04638E-05	7.68288E-05	0	7.71957E-05	7.46758E-05	0.000102398	9.36857E-05	9.74659E-05	8.28546E-05	8.99997E-05	0.000135509	9.3007E-05	0.000101907	8.534E-05	7.81331E-05	9.80032E-05	8.37866E-05	0.000103409	9.01801E-05	8.26224E-05	0.000218808	9.55577E-05	0.000128693	8.58255E-05	0.000105645	0.000152045	9.73189E-05	9.81355E-05	9.04266E-05	8.22849E-05	8.96578E-05	9.44712E-05	0.000109701	8.84282E-05	6.36989E-05	5.94877E-05	5.45112E-05	6.27984E-05	6.03401E-05	6.18957E-05	6.17813E-05	5.51607E-05	5.59066E-05	8.28614E-05	6.78986E-05	0.000110772
IL13RA1	0.000107465	7.63862E-05	6.13464E-05	6.28912E-05	7.30663E-05	8.18589E-05	9.65192E-05	8.07713E-05	8.34265E-05	9.65329E-05	8.67752E-05	0.000107672	0.000101475	9.03203E-05	8.0452E-05	0.000114067	0	8.57831E-05	8.2464E-05	0.000111268	0.000129907	9.51841E-05	8.98466E-05	9.27928E-05	0.000137578	9.55552E-05	9.49492E-05	8.534E-05	7.55502E-05	9.289E-05	8.11104E-05	8.35568E-05	7.91014E-05	7.20809E-05	0.000138634	8.71261E-05	0.000133182	7.3935E-05	9.91392E-05	0.000140263	0.000110441	0.000101823	9.4072E-05	8.5939E-05	9.52614E-05	9.3377E-05	0.0001022	8.08486E-05	8.22403E-05	0.000104103	7.69718E-05	8.25611E-05	8.377E-05	7.95203E-05	7.65001E-05	7.96158E-05	7.9229E-05	7.9562E-05	6.78986E-05	0.000105096
IL10RB	0.000125827	0.000145463	0.000143949	0.000144886	0.000126511	0.000112396	0.00011907	0.000108993	0.000109772	0.000110114	0.000109079	0.000107279	0.000108176	0.000128443	0.000110845	0.000111127	0	0.000122663	0.000110487	0.000104566	9.3141E-05	0.000128433	9.96353E-05	0.000116689	8.44779E-05	0.000102881	0.000108864	0.00010989	0.00012398	9.85145E-05	0.000109931	0.000114965	0.00012541	0.000120515	9.31188E-05	0.00012282	5.83608E-05	0.000125156	0.00011494	0.000100403	9.43119E-05	0.000104002	0.000109059	0.00011436	0.000106085	0.000100368	0.000102423	0.000113693	0.000138463	0.000115495	0.000148518	0.00014679	0.000135337	0.000132436	0.00012975	0.000137042	0.00012645	0.000120663	0.00012442	9.73556E-05
IL6R	6.62246E-05	4.64165E-05	5.59652E-05	5.00125E-05	5.71823E-05	5.79941E-05	6.81047E-05	6.55253E-05	5.02205E-05	4.95201E-05	4.87892E-05	7.07337E-05	4.43555E-05	4.54534E-05	6.72221E-05	7.44769E-05	0	7.62918E-05	6.36042E-05	8.87977E-05	8.33367E-05	7.46478E-05	7.30659E-05	5.39998E-05	0.000122062	5.6059E-05	5.8934E-05	4.83983E-05	4.45553E-05	5.74384E-05	5.33187E-05	4.71118E-05	3.96615E-05	4.07414E-05	7.55807E-05	3.56936E-05	3.1425E-05	3.67388E-05	5.08089E-05	9.20043E-05	6.50615E-05	6.872E-05	5.95418E-05	4.70973E-05	6.16397E-05	6.02452E-05	7.00396E-05	5.65021E-05	2.99056E-05	3.03767E-05	2.56152E-05	2.57434E-05	2.93141E-05	2.82832E-05	2.83125E-05	2.82054E-05	4.61649E-05	6.00486E-05	4.98649E-05	7.56828E-05
IL15RA	7.76634E-05	5.59191E-05	4.65479E-05	5.08711E-05	5.41924E-05	5.2092E-05	6.11138E-05	6.19571E-05	4.74762E-05	4.80575E-05	5.85471E-05	5.10854E-05	4.3079E-05	4.25209E-05	7.11553E-05	4.42941E-05	0.000339098	5.93883E-05	5.30671E-05	6.74114E-05	5.22897E-05	7.10621E-05	5.52364E-05	5.77239E-05	6.68927E-05	6.72071E-05	6.15942E-05	6.2193E-05	6.92544E-05	7.61869E-05	6.81409E-05	5.33341E-05	5.56147E-05	6.2679E-05	6.13833E-05	5.33999E-05	4.63893E-05	6.35688E-05	5.96384E-05	7.85922E-05	7.05289E-05	7.12341E-05	6.22759E-05	6.46234E-05	6.48637E-05	6.69931E-05	6.59545E-05	6.93644E-05	3.7382E-05	3.41738E-05	2.99054E-05	3.15942E-05	3.91568E-05	3.67598E-05	3.6E-05	3.10181E-05	3.98784E-05	6.58932E-05	6.57201E-05	6.45024E-05
IL4R	1.68572E-05	1.64468E-05	1.88344E-05	1.52399E-05	1.99951E-05	1.74495E-05	1.91685E-05	2.88701E-05	1.48192E-05	2.13125E-05	2.05612E-05	1.61116E-05	1.81889E-05	1.46624E-05	1.57328E-05	2.07751E-05	0.000113033	2.54909E-05	2.53501E-05	2.73982E-05	2.39661E-05	2.90116E-05	2.23743E-05	2.45172E-05	3.55152E-05	2.73925E-05	2.5579E-05	2.94598E-05	2.53448E-05	2.96566E-05	2.2645E-05	2.48893E-05	2.1271E-05	1.85188E-05	4.05046E-05	1.6301E-05	2.39429E-05	2.01225E-05	2.6179E-05	4.0863E-05	3.30775E-05	3.23487E-05	2.91633E-05	2.612E-05	3.06279E-05	2.95451E-05	3.40171E-05	3.03182E-05	1.46537E-05	1.32898E-05	1.14827E-05	1.5082E-05	1.35872E-05	1.42255E-05	1.29375E-05	1.24229E-05	1.43006E-05	2.79033E-05	2.26329E-05	2.7693E-05
IL20RA	2.22756E-05	2.55839E-05	3.3902E-05	3.06943E-05	2.33588E-05	1.95024E-05	2.11982E-05	1.65435E-05	2.3052E-05	2.21482E-05	2.19552E-05	2.08271E-05	2.80812E-05	4.83859E-05	2.82476E-05	2.4499E-05	0	2.18751E-05	2.16086E-05	2.04994E-05	2.01533E-05	2.18402E-05	2.27238E-05	2.82413E-05	1.65508E-05	3.08962E-05	2.61929E-05	2.71218E-05	2.32462E-05	1.97711E-05	2.75858E-05	2.48893E-05	3.30143E-05	3.39037E-05	2.04611E-05	3.11968E-05	2.69357E-05	3.26228E-05	2.32358E-05	1.2284E-05	1.80423E-05	1.718E-05	1.52905E-05	2.38193E-05	1.46615E-05	1.81769E-05	1.71571E-05	2.52652E-05	3.14008E-05	2.94274E-05	4.26499E-05	4.16056E-05	3.39145E-05	4.5614E-05	4.00313E-05	2.9768E-05	3.16724E-05	1.88536E-05	2.699E-05	1.94367E-05
IL17RA	8.42859E-06	7.12694E-06	8.0719E-06	4.93685E-06	7.66168E-06	6.41528E-06	7.89293E-06	8.43395E-06	5.48858E-06	1.19099E-05	1.15003E-05	1.1003E-05	1.05304E-05	6.45145E-06	7.86642E-06	9.21162E-06	0	6.5987E-06	7.40649E-06	1.40933E-05	1.06213E-05	1.04311E-05	6.29276E-06	6.51722E-06	1.31027E-05	8.91848E-06	9.41306E-06	8.4171E-06	7.58731E-06	1.4317E-05	1.04991E-05	7.70382E-06	6.20403E-06	7.40752E-06	1.96259E-05	1.26473E-05	1.0475E-05	7.46972E-06	8.82959E-06	2.5696E-05	8.4744E-06	7.96146E-06	9.31606E-06	6.09016E-06	7.13885E-06	8.51092E-06	1.00269E-05	6.43114E-06	6.87828E-06	1.01256E-05	5.80443E-06	4.29057E-06	6.31217E-06	5.83289E-06	4.78126E-06	4.76601E-06	5.32672E-06	7.35289E-06	5.20435E-06	1.61686E-05
IL11	1.65562E-05	8.77162E-06	7.26471E-06	6.43937E-06	7.84855E-06	1.07777E-05	1.12756E-05	1.36241E-05	3.56758E-06	9.82045E-06	8.01538E-06	3.92965E-06	5.10566E-06	2.93248E-06	1.07269E-05	1.25435E-05	0	1.84402E-05	1.61874E-05	1.86268E-05	1.38895E-05	2.08623E-05	1.92279E-05	5.58619E-06	2.03437E-05	5.09628E-06	7.36675E-06	6.31282E-06	7.91017E-06	2.23277E-05	9.6756E-06	3.85191E-06	3.76674E-06	4.84338E-06	7.51632E-06	3.65368E-06	8.97858E-06	3.65864E-06	3.56282E-06	2.49439E-05	1.0388E-05	1.02242E-05	8.60723E-06	7.44353E-06	9.97903E-06	8.87567E-06	1.25522E-05	8.95766E-06	8.97167E-07	1.58212E-06	6.30916E-07	3.90052E-07	1.06986E-06	9.23191E-07	1.3125E-06	9.37575E-07	2.44741E-06	7.54143E-06	6.65673E-06	1.46205E-05
