geneID	sg_hCHUK_1	sg_hCHUK_2	sg_hCHUK_3	sg_hCHUK_3	sg_hCHUK_5	sg_hCHUK_6	sg_hCHUK_8	sg_hIKBKG_1	sg_hIKBKG_2	sg_hIKBKG_3	sg_hIKBKG_4	sg_hIKBKG_5	sg_hIKBKG_6	sg_hIKBKG_7	sg_hIKBKG_8	sg_hRELA_1	sg_hRELA_2	sg_hRELA_3	sg_hRELA_4	sg_hRELA_5	sg_hRELA_6	sg_hRELA_7	sg_hRELA_8	sg_hSMPD1_1	sg_hSMPD1_2	sg_hSMPD1_3	sg_hSMPD1_4	sg_hSMPD1_5	sg_hSMPD1_6	sg_hSMPD1_7	sg_hSMPD1_8	sg_hTAB1_1	sg_hTAB1_2	sg_hTAB1_3	sg_hTAB1_4	sg_hTAB1_5	sg_hTAB1_6	sg_hTAB1_7	sg_hTAB1_8	sg_hACTG1_1	sg_hACTG1_2	sg_hACTG1_3	sg_hACTG1_4	sg_hACTG1_5	sg_hACTG1_6	sg_hACTG1_7	sg_hACTG1_8	sg_hTNFRSF1A_1	sg_hTNFRSF1A_2	sg_hTNFRSF1A_3	sg_hTNFRSF1A_4	sg_hTNFRSF1A_5	sg_hTNFRSF1A_6	sg_hTNFRSF1A_7	sg_hTNFRSF1A_8	Neg_Control_Human
IL32	852.492	319.433	379.11	242.335	540.242	730.572	613.168	916.706	127.884	173.425	305.281	390.607	62.2253	91.4933	2350.629	306.139	1130.327	440.034	448.818	1121.256	291.679	621.63	515.657	2372.267	3696.684	2535.715	2561.991	2327.328	2009.507	2294.98	2089.93	1846.545	1898.435	1748.176	2782.707	1735.215	2389.799	1712.547	1690.014	2866.047	2430.786	2198.452	2067.356	2177.843	2137.201	2079.036	2521.35	186.91	52.5264	47.0664	205.167	293.034	298.484	236.625	55.3951	2011.614
IL6ST	96.0257	58.2947	56.2342	50.4418	66.8996	70.8246	70.3598	83.6908	67.2351	73.3399	82.2447	92.3468	59.9916	51.9049	90.4638	76.8288	0	77.1957	74.6758	102.398	93.6857	97.4659	82.8546	89.9997	135.509	93.007	101.907	85.34	78.1331	98.0032	83.7866	103.409	90.1801	82.6224	218.808	95.5577	128.693	85.8255	105.645	152.045	97.3189	98.1355	90.4266	82.2849	89.6578	94.4712	109.701	63.6989	59.4877	54.5112	62.7984	60.3401	61.8957	61.7813	55.1607	110.772
IL13RA1	107.465	76.3862	61.3464	62.8912	73.0663	81.8589	96.5192	80.7713	83.4265	96.5329	86.7752	107.672	101.475	90.3203	80.452	114.067	0	85.7831	82.464	111.268	129.907	95.1841	89.8466	92.7928	137.578	95.5552	94.9492	85.34	75.5502	92.89	81.1104	83.5568	79.1014	72.0809	138.634	87.1261	133.182	73.935	99.1392	140.263	110.441	101.823	94.072	85.939	95.2614	93.377	102.2	82.2403	104.103	76.9718	82.5611	83.77	79.5203	76.5001	79.6158	105.096
IL10RB	125.827	145.463	143.949	144.886	126.511	112.396	119.07	108.993	109.772	110.114	109.079	107.279	108.176	128.443	110.845	111.127	0	122.663	110.487	104.566	93.141	128.433	99.6353	116.689	84.4779	102.881	108.864	109.89	123.98	98.5145	109.931	114.965	125.41	120.515	93.1188	122.82	58.3608	125.156	114.94	100.403	94.3119	104.002	109.059	114.36	106.085	100.368	102.423	138.463	115.495	148.518	146.79	135.337	132.436	129.75	137.042	97.3556
IL6R	66.2246	46.4165	55.9652	50.0125	57.1823	57.9941	68.1047	65.5253	50.2205	49.5201	48.7892	70.7337	44.3555	45.4534	67.2221	74.4769	0	76.2918	63.6042	88.7977	83.3367	74.6478	73.0659	53.9998	122.062	56.059	58.934	48.3983	44.5553	57.4384	53.3187	47.1118	39.6615	40.7414	75.5807	35.6936	31.425	36.7388	50.8089	92.0043	65.0615	68.72	59.5418	47.0973	61.6397	60.2452	70.0396	29.9056	30.3767	25.6152	25.7434	29.3141	28.2832	28.3125	28.2054	75.6828
IL15RA	77.6634	55.9191	46.5479	50.8711	54.1924	52.092	61.1138	61.9571	47.4762	48.0575	58.5471	51.0854	43.079	42.5209	71.1553	44.2941	339.098	59.3883	53.0671	67.4114	52.2897	71.0621	55.2364	57.7239	66.8927	67.2071	61.5942	62.193	69.2544	76.1869	68.1409	53.3341	55.6147	62.679	61.3833	53.3999	46.3893	63.5688	59.6384	78.5922	70.5289	71.2341	62.2759	64.6234	64.8637	66.9931	65.9545	37.382	34.1738	29.9054	31.5942	39.1568	36.7598	36	31.0181	64.5024
IL4R	16.8572	16.4468	18.8344	15.2399	19.9951	17.4495	19.1685	28.8701	14.8192	21.3125	20.5612	16.1116	18.1889	14.6624	15.7328	20.7751	113.033	25.4909	25.3501	27.3982	23.9661	29.0116	22.3743	24.5172	35.5152	27.3925	25.579	29.4598	25.3448	29.6566	22.645	24.8893	21.271	18.5188	40.5046	16.301	23.9429	20.1225	26.179	40.863	33.0775	32.3487	29.1633	26.12	30.6279	29.5451	34.0171	14.6537	13.2898	11.4827	15.082	13.5872	14.2255	12.9375	12.4229	27.693
IL20RA	22.2756	25.5839	33.902	30.6943	23.3588	19.5024	21.1982	16.5435	23.052	22.1482	21.9552	20.8271	28.0812	48.3859	28.2476	24.499	0	21.8751	21.6086	20.4994	20.1533	21.8402	22.7238	28.2413	16.5508	30.8962	26.1929	27.1218	23.2462	19.7711	27.5858	24.8893	33.0143	33.9037	20.4611	31.1968	26.9357	32.6228	23.2358	12.284	18.0423	17.18	15.2905	23.8193	14.6615	18.1769	17.1571	31.4008	29.4274	42.6499	41.6056	33.9145	45.614	40.0313	29.768	19.4367
IL17RA	8.42859	7.12694	8.0719	4.93685	7.66168	6.41528	7.89293	8.43395	5.48858	11.9099	11.5003	11.003	10.5304	6.45145	7.86642	9.21162	0	6.5987	7.40649	14.0933	10.6213	10.4311	6.29276	6.51722	13.1027	8.91848	9.41306	8.4171	7.58731	14.317	10.4991	7.70382	6.20403	7.40752	19.6259	12.6473	10.475	7.46972	8.82959	25.696	8.4744	7.96146	9.31606	6.09016	7.13885	8.51092	10.0269	6.87828	10.1256	5.80443	4.29057	6.31217	5.83289	4.78126	4.76601	16.1686
IL11	16.5562	8.77162	7.26471	6.43937	7.84855	10.7777	11.2756	13.6241	3.56758	9.82045	8.01538	3.92965	5.10566	2.93248	10.7269	12.5435	0	18.4402	16.1874	18.6268	13.8895	20.8623	19.2279	5.58619	20.3437	5.09628	7.36675	6.31282	7.91017	22.3277	9.6756	3.85191	3.76674	4.84338	7.51632	3.65368	8.97858	3.65864	3.56282	24.9439	10.388	10.2242	8.60723	7.44353	9.97903	8.87567	12.5522	0.897167	1.58212	0.630916	0.390052	1.06986	0.923191	1.3125	0.937575	14.6205
IL1RAP	24.9847	24.6702	23.9466	22.3232	20.182	20.7855	15.1093	18.8142	23.8753	19.8498	18.4702	14.1467	15.9552	20.8206	15.3753	23.127	0	18.169	19.0125	13.502	14.9788	17.9285	11.5367	15.8275	12.4131	14.0148	16.9844	16.8342	19.3719	16.3623	14.6163	14.815	13.5159	18.5188	9.60418	13.4905	2.99286	16.6163	16.265	11.7826	9.2945	13.4926	16.8094	17.9321	16.5805	17.4474	16.3401	14.3547	20.2511	18.9275	19.1126	23.7509	15.1907	19.875	21.2517	14.4485
IL11RA	9.33165	8.58888	7.80283	11.1616	8.40916	12.0607	9.92254	10.3803	9.60502	12.1189	14.6368	12.9678	10.2113	9.09068	12.1572	10.5836	0	10.0336	8.70454	13.0092	14.9788	13.3649	11.8863	9.62065	26.2054	11.7851	10.027	10.2876	9.84736	15.5101	10.4991	9.48162	10.4139	10.5415	26.3071	9.55577	10.475	9.60392	14.0964	16.4204	16.1287	15.0849	10.5312	10.5563	10.1326	10.9426	11.3638	14.9528	16.7705	16.1515	15.7321	15.299	13.3023	15	13.7511	13.7605
