feature_call,num_cells,pct_cells,median_umis,stddev_umis
No guide molecules,110.0,2.2412387938060307,None,None
No confident call,506.0,10.309698451507742,None,None
1 protospacer assigned,3532.0,71.96414017929911,None,None
More than 1 protospacer assigned,870.0,17.726161369193154,None,None
1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human,48.0,0.9779951100244498,449.0,777.1102852229569
1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human,1.0,0.020374898125509373,1615.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0496.Neg_Control_Human,1.0,0.020374898125509373,1740.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,138.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0486.Neg_Control_Human,57.0,1.1613691931540342,307.0,281.64665852543163
1.CRko.sg_Neg_Control_Human_GA_0486.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0498.Neg_Control_Human,1.0,0.020374898125509373,269.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0486.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_5.TNFRSF1A,1.0,0.020374898125509373,729.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0487.Neg_Control_Human,51.0,1.039119804400978,1741.0,1807.6955267031533
1.CRko.sg_Neg_Control_Human_GA_0487.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,1.0,0.020374898125509373,1790.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0487.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0489.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human,1.0,0.020374898125509373,2501.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0487.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human,1.0,0.020374898125509373,3319.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0487.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0494.Neg_Control_Human,1.0,0.020374898125509373,292.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0487.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human,1.0,0.020374898125509373,807.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0487.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,302.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,62.0,1.263243683781581,358.0,338.7490119249426
1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human,1.0,0.020374898125509373,2393.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0495.Neg_Control_Human,1.0,0.020374898125509373,1826.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0496.Neg_Control_Human,2.0,0.040749796251018745,1175.0,787.0
1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0500.Neg_Control_Human,1.0,0.020374898125509373,2147.0,0.0
